38.92,94.35,95.53,Missouri
26.18,80.13,86.09,"Washington State"
44.22,94.10,79.65,"Minnesota State Mankato"
39.64,119.69,82.24,Nevada
47.53,121.80,84.62,"Southern Oregon"
34.43,118.46,84.46,Colorado
30.50,97.81,76.31,"New Mexico State"
37.23,121.95,83.32,"San Diego State"
33.25,111.79,76.67,Arizona
44.91,93.17,76.67,Minnesota
26.15,80.17,77.09,FIU
27.45,82.64,96.78,"Florida State"
45.01,93.15,76.67,Minnesota
0.00,0.00,80.83,Buffalo
34.49,84.91,79.32,Mercer
40.12,82.38,85.78,Illinois
21.33,157.82,77.90,USC
30.32,81.41,79.36,FIU
39.76,86.39,96.84,Michigan
39.87,86.38,98.54,Clemson
33.69,112.00,88.19,"Michigan State"
40.11,88.28,84.84,Illinois
32.70,85.40,90.68,"South Carolina"
37.15,87.87,85.65,Purdue
37.81,121.97,81.87,Princeton
38.30,78.14,85.59,Virginia
40.24,76.92,76.67,"Penn State"
41.68,72.94,78.78,Temple
30.26,89.72,75.81,Louisiana
34.93,80.73,92.39,Oklahoma
42.03,93.59,76.67,"Southern Illinois"
29.91,98.44,78.84,Louisiana-Monroe
42.52,82.98,79.84,Rutgers
34.00,118.43,79.15,Indiana
34.09,84.22,85.34,Indiana
30.70,88.10,80.02,"Southern Miss"
39.79,85.97,78.03,Illinois
30.01,90.06,79.25,"Arkansas State"
28.46,80.67,79.79,Wyoming
39.85,84.11,90.93,"Michigan State"
38.97,77.07,91.10,Maryland
33.62,117.61,97.49,Stanford
37.79,78.23,88.89,Virginia
26.02,80.34,83.27,Akron
40.22,85.52,85.03,"Ball State"
32.45,93.64,84.04,"Oklahoma State"
40.46,80.29,78.89,"Saint Francis (PA)"
26.85,80.19,83.62,"Florida Atlantic"
32.67,97.42,76.42,"New Mexico State"
40.04,75.53,84.47,Wisconsin
31.55,100.56,85.75,TCU
39.03,94.63,85.77,Kansas
29.16,81.01,77.65,UAB
31.69,89.14,85.18,"Southern Miss"
36.06,115.28,76.67,UAB
38.00,84.53,85.34,"Western Kentucky"
33.84,117.50,98.98,Alabama
35.06,92.38,77.82,"Central Arkansas"
31.26,85.41,80.73,UAB
41.04,81.48,88.38,Kentucky
34.34,89.48,83.11,"Louisiana Tech"
41.92,88.13,76.67,Colgate
33.53,117.62,84.29,Georgia
40.67,73.54,80.03,Connecticut
37.67,122.09,82.54,"San Jose State"
37.06,113.57,84.06,"Brigham Young"
40.41,74.69,84.06,"West Virginia"
27.92,82.50,84.69,Syracuse
33.88,117.22,76.67,"Sacramento State"
39.88,95.25,80.00,LSU
36.00,86.78,76.67,"Eastern Kentucky"
34.15,118.60,82.34,"Georgia State"
33.53,111.89,75.33,UNLV
34.05,84.07,80.53,"Coastal Carolina"
41.66,88.32,85.18,"Florida Atlantic"
42.28,87.96,81.25,Louisiana-Monroe
48.09,122.24,77.82,Idaho
33.62,111.95,79.71,UNLV
33.53,111.89,84.63,Wisconsin
40.36,74.07,83.18,Connecticut
35.95,78.80,85.28,"Wake Forest"
33.78,118.19,97.47,"Florida State"
27.63,97.31,81.18,"Sam Houston State"
41.25,95.70,77.93,Troy
41.05,80.59,75.75,"Kent State"
34.29,119.23,78.93,"San Diego State"
40.10,75.18,89.92,Vanderbilt
33.88,84.71,89.92,"Florida State"
33.78,118.19,80.65,"San Jose State"
34.04,84.17,84.58,"Arkansas State"
41.32,81.34,77.89,"Kent State"
34.28,118.44,76.83,Nevada
33.48,82.02,78.98,Samford
38.95,76.94,76.82,"Air Force"
25.99,80.15,86.40,Utah
39.24,84.35,87.64,Pittsburgh
39.02,94.32,76.67,"Holy Cross"
31.72,90.41,82.00,Louisiana-Monroe
33.62,117.61,77.16,Cornell
41.48,81.80,81.85,USF
46.63,123.01,76.67,"Idaho State"
40.69,73.99,77.85,Wyoming
35.82,78.68,81.59,Vanderbilt
38.94,95.69,79.34,"Texas State"
41.15,85.26,85.68,Northwestern
33.71,117.87,82.31,California
32.93,96.84,84.52,UCF
33.43,88.83,84.51,Memphis
30.45,91.13,83.99,Indiana
35.71,88.70,81.99,Tennessee-Martin
33.11,97.17,86.71,"Texas A&M"
30.46,90.14,77.83,"Northwestern State"
47.75,122.20,86.96,California
40.56,111.97,85.24,"Northern Colorado"
31.20,97.99,80.09,UTSA
32.27,97.15,88.47,Baylor
26.78,80.08,82.88,Columbia
34.09,84.22,83.99,Georgia
30.05,83.18,81.04,"Eastern Kentucky"
31.55,97.14,85.60,SMU
48.04,122.06,99.75,Georgia
27.59,82.51,92.64,Miami
33.62,117.61,89.64,UCLA
37.66,77.53,84.44,"Ole Miss"
36.06,115.32,78.49,Columbia
35.75,83.63,86.40,Vanderbilt
30.14,91.05,78.57,"Southern University"
34.16,118.09,76.67,"Jacksonville State"
39.03,77.24,95.61,"Ohio State"
26.64,80.25,76.67,"Savannah State"
26.85,80.19,84.78,Temple
34.05,84.07,78.57,"Middle Tennessee State"
34.23,84.18,81.43,"Georgia Southern"
42.32,88.47,84.69,"Miami (OH)"
33.91,84.18,99.18,Stanford
41.06,74.15,89.15,Syracuse
34.02,84.24,78.93,"Georgia State"
29.53,95.53,78.24,"Prairie View A&M"
30.73,90.61,82.41,"Louisiana Tech"
36.06,95.81,80.91,"Eastern Illinois"
35.07,80.53,76.67,Harvard
35.74,78.54,84.94,"N.C. State"
34.74,92.32,77.98,"Tennessee Tech"
35.90,86.96,75.98,"Brigham Young"
32.77,96.62,92.72,Oklahoma
40.18,83.00,77.09,"Kent State"
34.10,83.57,80.25,Miami
33.25,111.79,88.68,"Arizona State"
27.97,82.49,85.80,Miami
28.48,81.63,81.44,UCLA
29.91,98.44,81.47,"New Mexico State"
30.31,98.00,80.58,"Iowa State"
33.53,117.62,91.89,Nebraska
40.64,79.94,81.46,Pittsburgh
34.22,84.85,99.99,Clemson
28.09,82.58,83.27,USF
32.89,96.57,78.93,"Arkansas State"
39.54,84.22,81.66,"Bowling Green"
41.88,88.36,79.31,"Northern Illinois"
39.53,104.96,94.35,Michigan
45.31,122.78,87.00,"Washington State"
32.58,83.63,97.94,Georgia
38.42,122.01,81.36,Utah
32.88,96.94,84.28,Texas
37.64,121.02,78.89,Columbia
35.90,78.63,83.34,"East Carolina"
42.37,83.37,77.82,"Eastern Michigan"
38.27,77.59,78.32,"Saint Francis (PA)"
33.78,118.19,96.90,"Ole Miss"
33.80,83.89,88.18,Clemson
